Restaurant Name,Restaurant URL,Review Stars,Minneapolis,St. Paul,Restaurant Type,Chain or Local,Brunch/Breakfast,Lunch,Dinner,Cuisine Type
Sakura Restaurant and Bar,https://www.sakurastpaul.com/,4.5,N,Y,Casual Sit-Down,Local,N,N,Y,Asian
Luci Ancora,http://luciancora.com/,4.6,N,Y,Casual Sit-Down,Local,N,N,Y,Italian
The Nook,https://www.crnook.com/,4.7,N,Y,Casual Sit-Down,Local,N,Y,Y,American
Shamrock's,https://www.crshamrocks.com/,4.5,N,Y,Casual Sit-Down,Local,N,Y,Y,American
5-8 Club,https://www.5-8club.com/,4.4,Y,Y,Casual Sit-Down,Local,N,Y,Y,American
Afro Deli,https://www.afrodeli.com/,4.6,Y,Y,Fast-Casual,Local,N,Y,Y,Mediterranean
Stewart's,https://www.stewartsminnesota.com/,4.7,N,Y,Casual Sit-Down,Local,Y,Y,Y,American
Colossal Cafe,https://colossalcafe.com/,4.6,N,Y,Casual Sit-Down,Local,Y,Y,N,American
French Hen,https://www.frenchhencafe.com/,4.5,N,Y,Casual Sit-Down,Local,Y,Y,N,American
DeGidio's,https://www.degidios.com/,4.6,N,Y,Casual Sit-Down,Local,N,N,Y,Italian
Mango Thai,https://www.mangothaistpaulmn.com/,4.2,N,Y,Casual Sit-Down,Local,N,Y,Y,Asian
Kincaid's ,https://www.kincaids.com/,4.3,N,Y,Fancy Sit-Down,Local,N,Y,Y,American
Mancini's Char House,https://mancinis.com/,4.6,N,Y,Fancy Sit-Down,Local,N,N,Y,American
J. Selby's,https://www.jselbys.com/,4.7,N,Y,Casual Sit-Down,Local,N,Y,Y,Health
Yumi Japanese Restaurant and Bar,https://www.yumisushibar.com/,4.5,Y,Y,Casual Sit-Down,Local,N,Y,Y,Asian
Foxy Falafel,https://foxyfalafel.com/,4.6,N,Y,Casual Sit-Down,Local,N,Y,Y,Mediterranean
Olive Garden,https://www.olivegarden.com/home,4,Y,Y,Casual Sit-Down,Chain,N,Y,Y,Italian
Capital Grille,https://www.thecapitalgrille.com/home,4.7,Y,N,Fancy Sit-Down,Chain,N,Y,Y,American
iHOP,https://www.ihop.com/en,4,Y,Y,Casual Sit-Down,Chain,Y,Y,Y,American
Green Mill,https://www.greenmill.com/,4,Y,Y,Casual Sit-Down,Chain,Y,Y,Y,American
ROK Eatery,https://www.rokeatery.com/,4.7,N,Y,Fancy Sit-Down,Local,Y,Y,Y,American
